"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","Date","PollenType","Count","TotalPollen","NonCherry","Propos","num"
1,"HBA","CANOPY","1A","N","AM",9,"17 May 2016","Other angiosperm",25,38,25,0.6578947368,73
1,"HBA","CANOPY","1A","N","PM",15,"17 May 2016","Other angiosperm",124,374,129,0.3315508021,74
2,"HBA","CANOPY","1A","S","AM",9,"17 May 2016","Other angiosperm",38,118,38,0.3220338983,75
2,"HBA","CANOPY","1A","S","PM",15,"17 May 2016","Other angiosperm",44,144,46,0.3055555556,76
5,"HBA","CANOPY","1B","N","AM",9,"17 May 2016","Other angiosperm",150,351,151,0.4273504274,77
5,"HBA","CANOPY","1B","N","PM",15,"17 May 2016","Other angiosperm",347,884,354,0.3925339367,78
6,"HBA","CANOPY","1B","S","AM",9,"17 May 2016","Other angiosperm",142,338,142,0.4201183432,79
6,"HBA","CANOPY","1B","S","PM",15,"17 May 2016","Other angiosperm",174,490,179,0.3551020408,80
9,"HBA","CANOPY","1C","N","AM",9,"17 May 2016","Other angiosperm",93,197,93,0.4720812183,81
9,"HBA","CANOPY","1C","N","PM",15,"17 May 2016","Other angiosperm",169,446,170,0.3789237668,82
10,"HBA","CANOPY","1C","S","AM",9,"17 May 2016","Other angiosperm",189,589,189,0.3208828523,83
10,"HBA","CANOPY","1C","S","PM",15,"17 May 2016","Other angiosperm",179,508,182,0.3523622047,84
13,"HBA","CANOPY","2A","N","AM",9,"17 May 2016","Other angiosperm",12,42,13,0.2857142857,85
13,"HBA","CANOPY","2A","N","PM",15,"17 May 2016","Other angiosperm","NA","NA","NA","NA",86
14,"HBA","CANOPY","2A","S","AM",9,"17 May 2016","Other angiosperm",50,138,52,0.3623188406,87
14,"HBA","CANOPY","2A","S","PM",15,"17 May 2016","Other angiosperm",90,291,103,0.3092783505,88
17,"HBA","CANOPY","2B","N","AM",9,"17 May 2016","Other angiosperm",40,121,40,0.3305785124,89
17,"HBA","CANOPY","2B","N","PM",15,"17 May 2016","Other angiosperm",2247,7471,2259,0.3007629501,90
18,"HBA","CANOPY","2B","S","AM",9,"17 May 2016","Other angiosperm",25,84,26,0.2976190476,91
18,"HBA","CANOPY","2B","S","PM",15,"17 May 2016","Other angiosperm",773,2212,778,0.3494575045,92
21,"HBA","CANOPY","2C","N","AM",9,"17 May 2016","Other angiosperm",7,20,8,0.35,93
21,"HBA","CANOPY","2C","N","PM",15,"17 May 2016","Other angiosperm",48,197,49,0.2436548223,94
22,"HBA","CANOPY","2C","S","AM",9,"17 May 2016","Other angiosperm",35,92,37,0.3804347826,95
22,"HBA","CANOPY","2C","S","PM",15,"17 May 2016","Other angiosperm",263,958,270,0.2745302714,96
25,"HBA","CANOPY","3A","N","AM",9,"17 May 2016","Other angiosperm",31,50,31,0.62,97
25,"HBA","CANOPY","3A","N","PM",15,"17 May 2016","Other angiosperm",273,922,278,0.2960954447,98
26,"HBA","CANOPY","3A","S","AM",9,"17 May 2016","Other angiosperm",68,146,68,0.4657534247,99
26,"HBA","CANOPY","3A","S","PM",15,"17 May 2016","Other angiosperm",367,1382,370,0.2655571635,100
29,"HBA","CANOPY","3B","N","AM",9,"17 May 2016","Other angiosperm",37,79,37,0.4683544304,101
29,"HBA","CANOPY","3B","N","PM",15,"17 May 2016","Other angiosperm",177,675,182,0.2622222222,102
30,"HBA","CANOPY","3B","S","AM",9,"17 May 2016","Other angiosperm",110,242,112,0.4545454545,103
30,"HBA","CANOPY","3B","S","PM",15,"17 May 2016","Other angiosperm",77,260,81,0.2961538462,104
